57, 167, 1974, 1
134, 620, 10076, 1
4, 10190, 56642, 0
74, 108, 306, 0
9, 4935, 27920, 0
1, 5, 8, 1
98, 5627, 94956, 0
78, 90, 56, 1
86, 268, 3724, 0
116, 368, 2372, 0
82, 86, 12, 1
72, 6324, 91910, 0
6, 1039, 4368, 0
12, 1796, 12758, 0
55, 64, 48, 0
95, 216, 958, 0
13, 5092, 19060, 0
54, 7553, 96846, 0
27, 33, 16, 1
76, 7359, 87598, 0
134, 623, 5620, 0
136, 295, 2598, 0
30, 15084, 98992, 0
11, 4549, 32468, 0
81, 3492, 45444, 0
69, 225, 1742, 0
63, 2999, 38674, 0
19, 31, 28, 0
70, 1151, 26446, 1
35, 996, 5924, 0
68, 135, 584, 0
41, 1993, 17264, 0
20, 46, 130, 1
86, 189, 1140, 0
134, 160, 154, 0
72, 88, 62, 0
137, 154, 62, 1
127, 8597, 94526, 0
76, 90, 62, 1
87, 382, 5828, 1
58, 187, 1876, 1
117, 367, 5406, 0
26, 3330, 29030, 0
1, 6, 8, 0
56, 5619, 68364, 0
4, 566, 2554, 0
11, 14681, 78206, 0
36, 5667, 59872, 0
3, 8, 16, 1
34, 9994, 62388, 0
117, 7177, 84998, 0
105, 1056, 18736, 0
107, 1766, 38884, 1
20, 88, 374, 0
78, 582, 7608, 0
28, 1318, 10034, 0
134, 257, 1200, 0
32, 43, 38, 0
6, 185, 1028, 0
130, 143, 60, 1
97, 124, 368, 0
122, 145, 328, 1
2, 809, 2892, 0
74, 218, 1526, 0
5, 11, 26, 1
107, 515, 11244, 1
106, 147, 452, 0
40, 52, 138, 1
5, 10, 16, 1
98, 930, 12146, 0
28, 46, 132, 0
117, 159, 198, 0
31, 297, 3292, 0
81, 611, 8554, 1
23, 3031, 19918, 0
16, 7245, 33064, 0
58, 79, 138, 0
34, 128, 752, 1
33, 81, 238, 0
74, 1105, 14714, 0
9, 832, 4034, 0
70, 90, 72, 1
55, 178, 1026, 0
14, 2910, 16774, 0
113, 249, 1648, 1
83, 89, 84, 1
83, 111, 186, 0
120, 140, 154, 0
88, 496, 13552, 1
110, 700, 18828, 1
100, 119, 226, 1
132, 856, 26388, 1
65, 1079, 13866, 0
119, 1734, 47660, 1
128, 213, 1146, 0
112, 229, 1864, 1
24, 1657, 8172, 0
89, 158, 918, 1
10, 600, 3822, 0
81, 307, 5272, 1
4, 622, 2590, 0
67, 2030, 21558, 0
92, 496, 6334, 1
110, 2945, 53032, 0
127, 237, 2426, 1
8, 8032, 63520, 0
9, 2870, 15526, 0
27, 83, 470, 1
34, 134, 912, 1
102, 834, 6586, 0
114, 388, 1944, 0
135, 183, 720, 0
54, 97, 310, 0
18, 32, 48, 0
135, 137, 4, 1
124, 132, 34, 1
70, 99, 166, 0
109, 461, 3892, 0
82, 124, 320, 0
11, 4368, 15900, 0
29, 12473, 90852, 0
120, 146, 156, 0
31, 11899, 85712, 0
75, 434, 6290, 1
122, 548, 11686, 0
26, 37, 36, 1
7, 589, 3008, 0
80, 667, 8470, 1
42, 44, 4, 1
86, 122, 228, 0
14, 3129, 12022, 0
49, 6495, 57684, 0
64, 3436, 46428, 0
89, 153, 240, 0
69, 2947, 30162, 0
55, 62, 26, 0
45, 4212, 30914, 0
93, 98, 36, 1
29, 4306, 28780, 0
5, 20, 68, 1
72, 4907, 62264, 0
95, 700, 9204, 1
4, 1366, 5936, 0
26, 8653, 77202, 0
26, 7704, 77166, 0
79, 1704, 29094, 1
110, 117, 28, 1
8, 18, 30, 1
90, 3657, 37518, 0
82, 152, 554, 0
44, 749, 6230, 0
122, 138, 102, 0
134, 1602, 48802, 1
126, 160, 340, 0
48, 455, 4662, 1
15, 7883, 54940, 0
34, 6965, 51072, 0
12, 3758, 20078, 0
43, 135, 592, 0
24, 495, 5012, 0
109, 381, 2948, 0
3, 5, 4, 1
36, 8473, 45858, 0
64, 470, 6960, 1
74, 166, 788, 0
37, 45, 40, 1
75, 120, 494, 0
64, 105, 238, 0
59, 9991, 93832, 0
27, 281, 2742, 0
56, 352, 4684, 1
57, 106, 238, 0
55, 9628, 70666, 0
74, 779, 16040, 1
65, 3095, 29688, 0
26, 3155, 30426, 0
35, 46, 86, 0
132, 143, 76, 1
46, 85, 362, 0
11, 14982, 81332, 0
32, 2753, 25798, 0
29, 42, 48, 0
86, 792, 17746, 1
88, 642, 11126, 1
14, 3643, 26396, 0
8, 11979, 44382, 0
53, 2605, 19400, 0
11, 3269, 14136, 0
49, 196, 1478, 1
84, 2964, 73122, 0
16, 2167, 14448, 0
74, 147, 420, 0
13, 1558, 11342, 0
31, 2538, 23458, 0
63, 1759, 14414, 0
108, 158, 276, 1
25, 18549, 98696, 0
3, 224, 724, 0
133, 937, 21190, 1
137, 139, 16, 1
50, 225, 3500, 1
106, 541, 8546, 1
62, 2764, 31332, 0
125, 221, 552, 0
40, 1011, 7720, 0
113, 267, 3474, 1
76, 7493, 90468, 0
108, 144, 414, 1
12, 2277, 16674, 0
53, 77, 144, 0
40, 1847, 22514, 0
67, 775, 12922, 1
14, 12575, 65642, 0
7, 4712, 17158, 0
2, 4, 4, 1
126, 138, 56, 1
5, 10, 16, 1
59, 68, 68, 0
30, 871, 6612, 0
39, 2602, 31848, 0
46, 58, 86, 1
70, 186, 1124, 0
24, 9145, 90072, 0
16, 5005, 37180, 0
26, 32, 12, 1
4, 10, 16, 0
110, 114, 16, 1
31, 4447, 61976, 0
90, 107, 78, 0
75, 81, 24, 0
6, 1871, 6536, 0
117, 189, 1444, 0
64, 1112, 19246, 0
82, 102, 156, 1
88, 542, 9208, 1
32, 73, 250, 0
53, 614, 9478, 0
41, 864, 6896, 0
142, 168, 360, 0
46, 110, 458, 0
108, 449, 7436, 1
128, 139, 40, 1
137, 158, 268, 1
81, 87, 22, 0
120, 913, 21412, 1
70, 11512, 89986, 0
47, 69, 172, 1
116, 1186, 21654, 1
127, 146, 166, 1
57, 113, 454, 1
70, 4394, 72596, 0
95, 135, 234, 0
14, 28, 34, 0
74, 5606, 79606, 0
67, 113, 660, 1
107, 146, 700, 0
133, 347, 7520, 1
80, 124, 350, 0
38, 49, 58, 1
117, 2624, 57426, 1
7, 5090, 28058, 0
89, 2329, 61004, 1
137, 161, 244, 0
17, 23, 10, 0
5, 14, 34, 0
57, 225, 3148, 1
34, 2939, 18944, 0
64, 1570, 20906, 0
105, 6432, 82534, 0
97, 443, 11416, 1
67, 320, 6650, 1
129, 2280, 85510, 1
19, 1141, 5374, 0
123, 458, 6688, 1
74, 155, 838, 0
114, 730, 15026, 1
108, 3907, 89650, 0
10, 33, 60, 0
31, 45, 50, 0
36, 4766, 38852, 0
134, 1778, 60814, 0
40, 52, 32, 0
89, 1351, 31856, 1
75, 4379, 93520, 0
88, 212, 2278, 1
59, 73, 82, 0
54, 2234, 27514, 0
30, 1819, 19318, 0
110, 776, 21302, 1
106, 766, 10972, 1
25, 1511, 9832, 0
7, 17, 40, 1
34, 58, 138, 0
21, 1343, 9362, 0
35, 3943, 50516, 0
78, 4778, 77054, 0
33, 100, 310, 0
16, 6805, 41842, 0
3, 7, 6, 0
40, 45, 16, 1
117, 131, 106, 1
107, 2872, 69928, 0
1, 1496, 7782, 0
86, 91, 16, 1
80, 139, 358, 0
2, 15825, 79048, 0
10, 6413, 39754, 0
63, 229, 1916, 1
90, 142, 754, 1
91, 115, 396, 1
18, 4569, 41370, 0
42, 575, 4492, 0
141, 201, 1046, 0
88, 1248, 28540, 1
39, 5747, 67626, 0
28, 1568, 15942, 0
126, 173, 692, 0
8, 539, 1744, 0
75, 93, 138, 0
50, 459, 5632, 1
120, 266, 2164, 1
60, 685, 8858, 1
10, 2058, 10046, 0
4, 35, 122, 0
120, 201, 810, 0
107, 237, 782, 0
