75, 83, 20, 0
63, 1595, 38534, 1
56, 972, 15456, 1
52, 2453, 20038, 0
42, 496, 3676, 0
41, 3736, 21694, 0
71, 176, 1382, 1
9, 15, 34, 1
94, 145, 688, 1
129, 3782, 24994, 0
129, 181, 744, 0
22, 134, 1440, 1
6, 12, 26, 1
56, 166, 646, 0
74, 118, 692, 1
110, 519, 6790, 0
118, 1687, 13510, 0
136, 483, 1534, 0
2, 8, 12, 1
114, 254, 1852, 1
98, 561, 12378, 1
120, 550, 17734, 1
71, 645, 5746, 0
83, 93, 18, 0
14, 62, 150, 0
72, 1344, 30696, 1
95, 302, 1742, 0
69, 147, 564, 0
43, 190, 924, 0
8, 16, 36, 1
4, 12908, 57148, 0
112, 117, 20, 0
24, 117, 552, 1
12, 59, 202, 0
65, 157, 922, 1
98, 287, 1680, 0
24, 44, 40, 0
15, 36, 174, 1
18, 52, 246, 1
35, 322, 2062, 0
11, 23, 50, 1
33, 59, 196, 1
50, 140, 1478, 1
29, 36, 12, 0
78, 338, 5582, 1
68, 74, 36, 0
73, 5667, 44690, 0
21, 305, 3880, 1
2, 8, 12, 1
82, 123, 328, 0
27, 40, 112, 1
45, 3352, 26060, 0
103, 124, 228, 0
74, 887, 9400, 1
91, 1660, 41286, 0
51, 59, 30, 1
40, 62, 142, 0
107, 1124, 27256, 0
142, 345, 2630, 0
81, 2633, 70996, 1
64, 182, 1526, 1
1, 5, 8, 1
88, 92, 6, 0
31, 82, 286, 1
109, 114, 22, 0
76, 233, 1916, 0
35, 7370, 65446, 0
20, 300, 3206, 1
28, 626, 3536, 0
31, 218, 2066, 1
87, 665, 6058, 0
12, 236, 1338, 0
34, 91, 166, 0
127, 168, 346, 0
118, 126, 44, 0
76, 80, 6, 0
33, 45, 142, 1
37, 693, 8558, 0
43, 356, 5128, 1
104, 179, 1268, 1
126, 234, 3136, 1
9, 20, 68, 1
2, 567, 1904, 0
46, 85, 156, 0
16, 23, 26, 1
116, 131, 102, 0
43, 3182, 23818, 0
94, 108, 36, 0
91, 362, 1498, 0
30, 78, 836, 1
128, 357, 2460, 0
10, 327, 1198, 0
24, 194, 1902, 1
76, 142, 214, 0
106, 135, 238, 1
13, 30, 146, 1
51, 75, 56, 0
21, 2581, 15596, 0
22, 72, 748, 1
81, 87, 28, 0
22, 366, 1394, 0
25, 47, 56, 0
21, 37, 106, 1
124, 133, 42, 0
88, 397, 7168, 0
134, 149, 52, 0
92, 107, 118, 1
133, 576, 7530, 0
8, 333, 1654, 0
43, 139, 1500, 1
32, 780, 13674, 1
37, 115, 1282, 1
31, 2015, 32554, 1
124, 1724, 27706, 1
34, 328, 5138, 1
110, 5215, 70634, 0
130, 198, 534, 0
14, 2792, 10202, 0
17, 24, 28, 1
27, 77, 334, 1
42, 89, 616, 1
78, 580, 6604, 0
39, 102, 790, 1
84, 358, 5120, 1
93, 1788, 75512, 1
59, 3858, 95868, 1
26, 67, 554, 1
59, 160, 1550, 1
10, 26, 34, 0
34, 829, 13414, 1
31, 578, 4114, 0
43, 78, 232, 1
88, 1782, 46286, 1
2, 4, 4, 1
15, 246, 742, 0
114, 1056, 15084, 0
18, 24, 10, 0
115, 302, 4818, 1
31, 780, 7476, 1
87, 427, 2230, 0
30, 129, 1498, 1
86, 383, 7810, 1
7, 185, 536, 0
73, 290, 2110, 0
67, 91, 236, 1
44, 1088, 26444, 1
36, 843, 15472, 1
36, 53, 54, 0
39, 121, 1712, 1
35, 227, 3366, 1
29, 412, 2230, 0
29, 266, 2856, 1
48, 434, 10176, 1
36, 81, 584, 1
21, 144, 1228, 1
75, 265, 4864, 1
46, 8348, 48278, 0
82, 272, 2120, 0
28, 48, 92, 1
11, 32, 116, 1
8, 19, 28, 1
126, 184, 882, 0
63, 79, 36, 0
55, 6527, 64054, 0
38, 48, 48, 0
28, 302, 1672, 0
22, 32, 66, 1
57, 197, 1278, 1
82, 1457, 18962, 0
42, 820, 12818, 1
13, 360, 1544, 0
98, 193, 1378, 0
52, 1224, 16656, 0
70, 210, 986, 0
69, 4166, 58618, 0
28, 3231, 45418, 1
44, 60, 36, 0
44, 190, 3788, 1
44, 1345, 18082, 0
27, 1826, 16170, 0
3, 8, 16, 1
80, 1464, 55600, 1
120, 695, 16468, 1
28, 137, 458, 0
72, 623, 4840, 0
129, 175, 638, 1
27, 1071, 20050, 1
12, 19, 20, 1
19, 60, 382, 1
21, 409, 1640, 0
71, 122, 188, 0
49, 436, 3520, 0
34, 248, 3816, 1
75, 116, 254, 0
8, 16, 36, 1
135, 252, 1236, 0
92, 535, 12238, 1
43, 584, 2660, 0
59, 265, 2050, 0
60, 548, 5334, 0
40, 513, 11692, 1
4, 11, 20, 1
23, 75, 342, 1
101, 322, 4642, 1
133, 316, 1586, 0
65, 72, 24, 0
105, 232, 1002, 0
117, 180, 724, 0
141, 224, 1602, 1
102, 3606, 97322, 1
135, 385, 1702, 0
17, 21, 6, 0
16, 69, 280, 1
107, 3222, 80348, 1
17, 21, 6, 0
57, 4587, 95032, 1
12, 61, 330, 1
32, 372, 5634, 1
3, 7, 10, 1
33, 67, 288, 1
2, 7, 12, 1
17, 24, 50, 1
9, 14, 24, 1
7, 20, 54, 1
60, 87, 124, 0
39, 1457, 5146, 0
41, 84, 264, 0
63, 170, 1944, 1
58, 1142, 19904, 1
7, 13, 32, 1
119, 903, 16416, 0
16, 211, 784, 0
2, 4, 4, 1
90, 456, 3092, 0
126, 3831, 66242, 0
88, 101, 48, 0
54, 2069, 46244, 1
62, 69, 34, 1
66, 95, 344, 0
127, 171, 254, 0
44, 84, 216, 1
10, 14, 22, 1
18, 24, 32, 1
107, 115, 16, 0
123, 412, 5042, 1
91, 121, 570, 1
28, 297, 836, 0
1, 5, 8, 1
138, 186, 400, 0
104, 372, 2064, 0
83, 1012, 16222, 1
21, 38, 228, 1
19, 42, 240, 1
85, 226, 1014, 0
12, 5677, 23404, 0
15, 36, 184, 1
36, 42, 12, 0
107, 1908, 70050, 1
11, 3577, 24490, 0
22, 107, 776, 1
7, 103, 292, 0
53, 146, 340, 0
8, 720, 3634, 0
85, 4157, 88964, 1
